#framerate (fps):	10.00

#Frame	PersID	x/m	y/m	z/m	Individual density(m^(-2))	Individual velocity(m/s)	Voronoi Polygon	Intersection Polygon
00009	 47	 -0.3200	 1.5100	 0.0000	 1.9053	 0.9071	(((-2828.857014, 19609.566298), (1709.897671, 12410.162315), (-1367.041102, 8575.137178), (-6618.367347, 12100.000000), (-4755.350554, 19122.140221), (-2828.857014, 19609.566298)))	(((-5000.000319, 11013.698845), (-5000.000000, 15000.000000), (77.173784, 15000.000205), (1709.897671, 12410.162315), (-1367.041102, 8575.137178), (-5000.000319, 11013.698845)))
00009	 8	 0.1400	 1.8000	 0.0000	 1.8474	 0.7566	(((1709.897671, 12410.162315), (-2828.857014, 19609.566298), (163.141615, 23321.860893), (1999.860086, 23699.503943), (4952.392344, 21754.306220), (3623.647633, 13191.284748), (1709.897671, 12410.162315)))	(((77.174048, 14999.999786), (3904.310412, 15000.000434), (3623.647633, 13191.284748), (1709.897671, 12410.162315), (77.174048, 14999.999786)))
00009	 33	 0.1900	 0.2200	 0.0000	 1.1706	 0.7103	(((-736.882729, -10000.000000), (-1051.624815, 7942.614476), (8756.122449, 2221.428571), (10342.868456, -0.015838), (4000.000000, 0.000000), (2500.000000, -1500.000000), (2500.000000, -10000.000000), (-736.882729, -10000.000000)))	(((-1000.006771, 5000.000000), (-1051.624815, 7942.614476), (3992.856571, 5000.000000), (-1000.006771, 5000.000000)))
00009	 17	 0.5400	 0.8200	 0.0000	 1.5405	 0.4438	(((1709.897671, 12410.162315), (3623.647633, 13191.284748), (7853.044544, 12335.901103), (8756.122449, 2221.428571), (-1051.624815, 7942.614476), (-1362.177450, 8410.988941), (-1367.041102, 8575.137178), (1709.897671, 12410.162315)))	(((5000.000014, 12912.921346), (5000.000000, 5000.000000), (3992.858125, 5000.000000), (-1051.624815, 7942.614476), (-1362.177450, 8410.988941), (-1367.041102, 8575.137178), (1709.897671, 12410.162315), (3623.647633, 13191.284748), (5000.000014, 12912.921346)))
00009	 29	 0.7200	 1.7100	 0.0000	 0.8563	 0.6203	(((3623.647633, 13191.284748), (4952.392344, 21754.306220), (16949.369324, 22009.561049), (22689.976507, 19047.846515), (7853.044544, 12335.901103), (3623.647633, 13191.284748)))	(((3904.310234, 14999.999284), (5000.000000, 15000.000000), (4999.999691, 12912.921411), (3623.647633, 13191.284748), (3904.310234, 14999.999284)))
00010	 23	 -0.7900	 0.7500	 0.0000	 1.7784	 0.3712	(((-11900.877193, 10044.541910), (-9345.267986, 11783.775954), (-6814.719626, 11813.200935), (-1563.543533, 7914.600502), (-9412.383521, 1887.812653), (-11900.877193, 10044.541910)))	(((-5000.000471, 10465.909441), (-1563.543533, 7914.600502), (-5000.000766, 5275.892269), (-5000.000471, 10465.909441)))
00010	 2	 -0.3600	 0.1900	 0.0000	 1.7725	 0.4491	(((-1563.543533, 7914.600502), (-1320.801638, 7902.662376), (-207.671958, 6288.624339), (-2243.748651, -10000.000000), (-2500.000000, -10000.000000), (-2500.000000, -1500.000000), (-4000.000000, 0.000000), (-10115.673306, 0.034810), (-9412.383521, 1887.812653), (-1563.543533, 7914.600502)))	(((-5000.001028, 5275.892068), (-1563.543533, 7914.600502), (-1320.801638, 7902.662376), (-207.671958, 6288.624339), (-368.748076, 5000.000000), (-5000.000000, 5000.000000), (-5000.001028, 5275.892068)))
00010	 47	 -0.3000	 1.4100	 0.0000	 1.9717	 0.8591	(((-2958.372405, 18713.496316), (1792.603550, 11970.175606), (-1320.801638, 7902.662376), (-1563.543533, 7914.600502), (-6814.719626, 11813.200935), (-4171.755725, 18420.610687), (-2958.372405, 18713.496316)))	(((-4999.999285, 10465.908560), (-5000.000000, 15000.000000), (-342.045383, 14999.999898), (1792.603550, 11970.175606), (-1320.801638, 7902.662376), (-1563.543533, 7914.600502), (-4999.999285, 10465.908560)))
00010	 8	 0.1400	 1.7200	 0.0000	 1.8937	 0.6836	(((1792.603550, 11970.175606), (-2958.372405, 18713.496316), (336.735219, 22538.174807), (2073.409836, 22862.786885), (4816.396612, 21128.714785), (3807.818890, 12771.927945), (1792.603550, 11970.175606)))	(((-342.045654, 15000.000283), (4076.724099, 14999.999674), (3807.818890, 12771.927945), (1792.603550, 11970.175606), (-342.045654, 15000.000283)))
00010	 33	 0.2000	 0.1200	 0.0000	 1.2089	 0.6207	(((-2243.750450, -10000.000000), (-207.671958, 6288.624339), (7767.495491, 2598.621489), (9686.965101, -0.045060), (4000.000000, 0.000000), (2500.000000, -1500.000000), (2500.000000, -10000.000000), (-2243.750450, -10000.000000)))	(((-368.750576, 5000.000000), (-207.671958, 6288.624339), (2577.421048, 4999.999217), (-368.750576, 5000.000000)))
