#framerate (fps):	10.00

#Frame	PersID	x/m	y/m	z/m	Individual density(m^(-2))	Individual velocity(m/s)	Voronoi Polygon	Intersection Polygon
00001	 37	 0.1400	 1.4600	 0.0000	 2.2260	 0.2786	(((-3900.944460, 16995.728785), (-1052.329275, 19956.789307), (2245.593937, 20457.366937), (4042.380390, 19001.742469), (3052.423469, 12732.015306), (943.429158, 12192.505133), (-2230.082988, 14145.435685), (-3900.944460, 16995.728785)))	(((3410.526334, 15000.000115), (3052.423469, 12732.015306), (943.429158, 12192.505133), (-2230.082988, 14145.435685), (-2731.034282, 14999.999658), (3410.526334, 15000.000115)))
00001	 22	 0.2500	 1.0300	 0.0000	 2.8647	 0.6450	(((943.429158, 12192.505133), (3052.423469, 12732.015306), (6746.155048, 10036.589559), (6674.894157, 7008.001693), (1639.887640, 5389.606742), (622.792937, 5765.489567), (287.861272, 6456.286127), (943.429158, 12192.505133)))	(((5000.000174, 11310.810684), (5000.000093, 6469.642887), (1639.887640, 5389.606742), (622.792937, 5765.489567), (287.861272, 6456.286127), (943.429158, 12192.505133), (3052.423469, 12732.015306), (5000.000174, 11310.810684)))
00001	 18	 0.5200	 0.1900	 0.0000	 2.1399	 0.2600	(((1639.887640, 5389.606742), (6674.894157, 7008.001693), (9350.000000, 5115.853659), (9350.000000, 0.000000), (4000.000000, 0.000000), (2538.408752, -1461.591248), (1639.887640, 5389.606742)))	(((4999.999618, 6469.642734), (5000.000000, 5000.000000), (1690.983736, 5000.000464), (1639.887640, 5389.606742), (4999.999618, 6469.642734)))
00001	 13	 0.5200	 1.4000	 0.0000	 3.2968	 0.2209	(((4042.380390, 19001.742469), (5910.583942, 18430.291971), (8097.162613, 15244.134478), (7978.761272, 11869.696251), (6746.155048, 10036.589559), (3052.423469, 12732.015306), (4042.380390, 19001.742469)))	(((3410.526316, 14999.999998), (5000.000000, 15000.000000), (5000.000018, 11310.810797), (3052.423469, 12732.015306), (3410.526316, 14999.999998)))
00002	 1	 -0.4700	 1.1300	 0.0000	 3.0150	 0.1649	(((-8189.898990, 8262.703963), (-6154.304304, 16248.498498), (-4275.957952, 16471.668362), (-1963.140417, 13096.204934), (-3428.767123, 8812.065332), (-8189.898990, 8262.703963)))	(((-5000.000613, 8630.769160), (-5000.000000, 15000.000000), (-3267.592532, 14999.999912), (-1963.140417, 13096.204934), (-3428.767123, 8812.065332), (-5000.000613, 8630.769160)))
00002	 10	 -0.4100	 0.6100	 0.0000	 2.7753	 0.6603	(((-8936.111111, 7608.333333), (-8189.898990, 8262.703963), (-3428.767123, 8812.065332), (572.383721, 5529.069767), (844.575937, 4952.662722), (819.058296, 4897.982063), (-3208.130081, 2683.028455), (-8249.065421, 5547.196262), (-8936.111111, 7608.333333)))	(((-4999.999567, 8630.769281), (-3428.767123, 8812.065332), (572.383721, 5529.069767), (822.221714, 5000.001077), (-5000.000000, 5000.000000), (-4999.999567, 8630.769281)))
00002	 36	 -0.0900	 1.0000	 0.0000	 4.4875	 0.3883	(((-1963.140417, 13096.204934), (1384.375000, 12025.000000), (572.383721, 5529.069767), (-3428.767123, 8812.065332), (-1963.140417, 13096.204934)))	(((-1963.140417, 13096.204934), (1384.375000, 12025.000000), (572.383721, 5529.069767), (-3428.767123, 8812.065332), (-1963.140417, 13096.204934)))
00002	 37	 0.0700	 1.5000	 0.0000	 2.1343	 0.2778	(((-4275.957952, 16471.668362), (-612.222888, 20249.895147), (2036.899742, 20374.853761), (4111.571429, 18446.285714), (2643.622449, 12574.489796), (1384.375000, 12025.000000), (-1963.140417, 13096.204934), (-4275.957952, 16471.668362)))	(((3250.000038, 15000.000150), (2643.622449, 12574.489796), (1384.375000, 12025.000000), (-1963.140417, 13096.204934), (-3267.592947, 15000.000517), (3250.000038, 15000.000150)))
00002	 22	 0.3100	 0.9500	 0.0000	 2.8321	 0.4919	(((1384.375000, 12025.000000), (2643.622449, 12574.489796), (6993.968301, 10146.389786), (6797.404844, 6362.543253), (844.575937, 4952.662722), (572.383721, 5529.069767), (1384.375000, 12025.000000)))	(((4999.999783, 11259.302447), (4999.999819, 5936.842062), (1044.443038, 4999.999667), (822.222364, 4999.999699), (572.383721, 5529.069767), (1384.375000, 12025.000000), (2643.622449, 12574.489796), (4999.999783, 11259.302447)))
00002	 18	 0.4900	 0.1900	 0.0000	 2.3349	 0.2807	(((844.575937, 4952.662722), (6797.404844, 6362.543253), (8950.000000, 4598.611111), (8950.000000, 0.000000), (4000.000000, 0.000000), (2758.002202, -1241.997798), (819.058296, 4897.982063), (844.575937, 4952.662722)))	(((5000.000326, 5936.842182), (5000.000000, 5000.000000), (1044.446160, 5000.000406), (5000.000326, 5936.842182)))
00002	 13	 0.5500	 1.3800	 0.0000	 3.3333	 0.2474	(((4111.571429, 18446.285714), (5059.230769, 18240.769231), (8224.545455, 15075.454545), (8157.565392, 11458.531187), (6993.968301, 10146.389786), (2643.622449, 12574.489796), (4111.571429, 18446.285714)))	(((3250.000021, 15000.000084), (5000.000000, 15000.000000), (5000.000365, 11259.302122), (2643.622449, 12574.489796), (3250.000021, 15000.000084)))
00003	 1	 -0.4900	 1.1200	 0.0000	 2.9361	 0.1800	(((-7913.342017, 7883.271306), (-6803.311897, 15812.057878), (-4187.844516, 15951.178483), (-1813.704286, 12486.217066), (-3621.305182, 8585.604607), (-7913.342017, 7883.271306)))	(((-5000.000069, 8359.999989), (-5000.000000, 15000.000000), (-3536.111207, 15000.000140), (-1813.704286, 12486.217066), (-3621.305182, 8585.604607), (-5000.000069, 8359.999989)))
00003	 10	 -0.4000	 0.5700	 0.0000	 2.8277	 0.7841	(((-8945.227898, 6901.315387), (-7913.342017, 7883.271306), (-3621.305182, 8585.604607), (727.101770, 4720.353982), (738.708187, 4689.937165), (378.554913, 3865.375723), (-2706.756757, 2204.054054), (-8398.028674, 5618.817204), (-8945.227898, 6901.315387)))	(((-5000.000874, 8359.999857), (-3621.305182, 8585.604607), (412.500340, 4999.999698), (-5000.000000, 5000.000000), (-5000.000874, 8359.999857)))
00003	 36	 -0.0800	 0.9300	 0.0000	 3.9935	 0.2828	(((-1813.704286, 12486.217066), (1828.082192, 11640.802348), (727.101770, 4720.353982), (-3621.305182, 8585.604607), (-1813.704286, 12486.217066)))	(((771.590980, 5000.000447), (412.499521, 5000.000426), (-3621.305182, 8585.604607), (-1813.704286, 12486.217066), (1828.082192, 11640.802348), (771.590980, 5000.000447)))
00003	 37	 0.0500	 1.4900	 0.0000	 2.2062	 0.2864	(((-4187.844516, 15951.178483), (-179.661017, 20100.000000), (1652.419355, 20100.000000), (3977.749060, 18010.573308), (2394.011649, 11919.275573), (1828.082192, 11640.802348), (-1813.704286, 12486.217066), (-4187.844516, 15951.178483)))	(((3194.999990, 14999.999962), (2394.011649, 11919.275573), (1828.082192, 11640.802348), (-1813.704286, 12486.217066), (-3536.111142, 15000.000046), (3194.999990, 14999.999962)))
00003	 22	 0.3600	 0.8600	 0.0000	 2.9231	 0.3418	(((1828.082192, 11640.802348), (2394.011649, 11919.275573), (7223.852573, 10083.936022), (6910.949299, 5703.290183), (738.708187, 4689.937165), (727.101770, 4720.353982), (1828.082192, 11640.802348)))	(((5000.000002, 10928.999999), (4999.999713, 5389.552192), (2627.269230, 4999.999426), (771.590821, 4999.999447), (1828.082192, 11640.802348), (2394.011649, 11919.275573), (5000.000002, 10928.999999)))
00003	 18	 0.4700	 0.1900	 0.0000	 2.5727	 0.2828	(((738.708187, 4689.937165), (6910.949299, 5703.290183), (8600.000000, 4095.967742), (8600.000000, 0.000656), (4000.000000, 0.000000), (2937.341459, -1062.658541), (378.554913, 3865.375723), (738.708187, 4689.937165)))	(((5000.000558, 5389.552330), (5000.000000, 5000.000000), (2627.271090, 4999.999731), (5000.000558, 5389.552330)))
00003	 13	 0.5500	 1.3600	 0.0000	 3.2338	 0.2530	(((3977.749060, 18010.573308), (5013.782542, 17858.958652), (8177.296820, 14996.731449), (8099.930168, 10896.298883), (7223.852573, 10083.936022), (2394.011649, 11919.275573), (3977.749060, 18010.573308)))	(((3195.000052, 15000.000198), (5000.000000, 15000.000000), (4999.999977, 10929.000009), (2394.011649, 11919.275573), (3195.000052, 15000.000198)))
00004	 1	 -0.4900	 1.1100	 0.0000	 2.8453	 0.2000	(((-7593.321058, 7545.313023), (-7283.333333, 15450.000000), (-4065.384615, 15450.000000), (-1580.758427, 11861.095506), (-3664.014147, 8277.895668), (-7593.321058, 7545.313023)))	(((-5000.000159, 8028.813530), (-5000.000000, 15000.000000), (-3753.846135, 14999.999973), (-1580.758427, 11861.095506), (-3664.014147, 8277.895668), (-5000.000159, 8028.813530)))
00004	 10	 -0.3800	 0.5200	 0.0000	 2.9192	 0.7841	(((-8737.254155, 6382.626925), (-7593.321058, 7545.313023), (-3664.014147, 8277.895668), (624.858174, 4241.309954), (27.443609, 2738.721805), (-2280.120482, 1584.939759), (-8514.135703, 5859.693053), (-8737.254155, 6382.626925)))	(((-5000.000145, 8028.813532), (-3664.014147, 8277.895668), (-181.249593, 4999.999617), (-5000.000000, 5000.000000), (-5000.000145, 8028.813532)))
00004	 36	 -0.0600	 0.8600	 0.0000	 3.7363	 0.2000	(((-1580.758427, 11861.095506), (1981.720430, 11335.483871), (1246.014493, 4714.130435), (624.858174, 4241.309954), (-3664.014147, 8277.895668), (-1580.758427, 11861.095506)))	(((1277.777795, 5000.000157), (-181.249967, 4999.999969), (-3664.014147, 8277.895668), (-1580.758427, 11861.095506), (1981.720430, 11335.483871), (1277.777795, 5000.000157)))
00004	 37	 0.0300	 1.4700	 0.0000	 2.3390	 0.2973	(((-4065.384615, 15450.000000), (263.633933, 19863.901265), (1273.531462, 19814.877113), (3835.933861, 17591.616209), (2142.662474, 11423.270440), (1981.720430, 11335.483871), (-1580.758427, 11861.095506), (-4065.384615, 15450.000000)))	(((3124.509736, 14999.999753), (2142.662474, 11423.270440), (1981.720430, 11335.483871), (-1580.758427, 11861.095506), (-3753.846189, 15000.000051), (3124.509736, 14999.999753)))
00004	 22	 0.3900	 0.8100	 0.0000	 3.1990	 0.2668	(((1981.720430, 11335.483871), (2142.662474, 11423.270440), (7293.064182, 9937.577640), (6772.101449, 5248.913043), (1246.014493, 4714.130435), (1981.720430, 11335.483871)))	(((4999.999899, 10599.038491), (5000.000000, 5077.419114), (4200.002325, 5000.000225), (1277.777786, 5000.000072), (1981.720430, 11335.483871), (2142.662474, 11423.270440), (4999.999899, 10599.038491)))
00004	 18	 0.4500	 0.1900	 0.0000	 2.6948	 0.2864	(((624.858174, 4241.309954), (1246.014493, 4714.130435), (6772.101449, 5248.913043), (8274.557628, 3691.822095), (8225.333294, -0.002984), (4000.000000, 0.000000), (2948.823127, -1051.176873), (27.443609, 2738.721805), (624.858174, 4241.309954)))	(((5000.000000, 5077.419433), (5000.000000, 5000.000000), (4200.000472, 5000.000046), (5000.000000, 5077.419433)))
00004	 13	 0.5400	 1.3300	 0.0000	 3.1548	 0.2280	(((3835.933861, 17591.616209), (5010.853835, 17476.989870), (8128.417564, 14784.548467), (8050.063735, 10553.441683), (7293.064182, 9937.577640), (2142.662474, 11423.270440), (3835.933861, 17591.616209)))	(((3124.509722, 14999.999700), (5000.000000, 15000.000000), (4999.999818, 10599.038514), (2142.662474, 11423.270440), (3124.509722, 14999.999700)))
00005	 1	 -0.4900	 1.0900	 0.0000	 2.8220	 0.1421	(((-7306.355527, 7137.065945), (-7611.643836, 14921.917808), (-7117.090395, 15204.519774), (-4053.634232, 15132.438453), (-1622.302158, 11589.640288), (-3734.381874, 7956.863176), (-7306.355527, 7137.065945)))	(((-4999.999829, 7666.393482), (-5000.000000, 15000.000000), (-3962.744834, 14999.999615), (-1622.302158, 11589.640288), (-3734.381874, 7956.863176), (-4999.999829, 7666.393482)))
00005	 10	 -0.3500	 0.4800	 0.0000	 2.9956	 0.7001	(((-8226.246830, 6123.626374), (-7306.355527, 7137.065945), (-3734.381874, 7956.863176), (730.459452, 4360.185441), (-277.987743, 1682.584270), (-2026.125375, 923.524508), (-8226.246830, 6123.626374)))	(((-5000.000331, 7666.393367), (-3734.381874, 7956.863176), (-63.794323, 5000.000982), (-5000.000000, 5000.000000), (-5000.000331, 7666.393367)))
00005	 36	 -0.0600	 0.8400	 0.0000	 3.8060	 0.3622	(((730.459452, 4360.185441), (-3734.381874, 7956.863176), (-1622.302158, 11589.640288), (2073.704172, 11096.839444), (2088.473768, 11078.298887), (1263.545522, 4753.849001), (730.459452, 4360.185441)))	(((-63.793536, 5000.000348), (-3734.381874, 7956.863176), (-1622.302158, 11589.640288), (2073.704172, 11096.839444), (2088.473768, 11078.298887), (1295.652182, 5000.000060), (-63.793536, 5000.000348)))
00005	 37	 0.0200	 1.4400	 0.0000	 2.4720	 0.2377	(((-4053.634232, 15132.438453), (512.008734, 19606.768559), (706.327160, 19591.820988), (3627.783156, 17193.610842), (2073.704172, 11096.839444), (-1622.302158, 11589.640288), (-4053.634232, 15132.438453)))	(((3068.627555, 15000.000409), (2073.704172, 11096.839444), (-1622.302158, 11589.640288), (-3962.745411, 15000.000456), (3068.627555, 15000.000409)))
00005	 22	 0.4000	 0.7800	 0.0000	 3.3133	 0.4919	(((2088.473768, 11078.298887), (7365.104641, 9784.030937), (6637.904600, 4936.030664), (1263.545522, 4753.849001), (2088.473768, 11078.298887)))	(((4999.999918, 10364.150963), (5000.000000, 5000.000000), (1295.652148, 4999.999802), (2088.473768, 11078.298887), (4999.999918, 10364.150963)))
00005	 13	 0.5300	 1.3100	 0.0000	 3.1455	 0.2100	(((3627.783156, 17193.610842), (5092.178771, 17120.391061), (8105.208333, 14518.229167), (7949.155609, 10226.779252), (7365.104641, 9784.030937), (2088.473768, 11078.298887), (2073.704172, 11096.839444), (3627.783156, 17193.610842)))	(((3068.627526, 15000.000295), (5000.000000, 15000.000000), (5000.000170, 10364.150902), (2088.473768, 11078.298887), (2073.704172, 11096.839444), (3068.627526, 15000.000295)))
00006	 1	 -0.4900	 1.0700	 0.0000	 2.7423	 0.1581	(((-6983.827376, 6437.532694), (-7899.755757, 14222.923936), (-6555.957031, 14988.378906), (-4079.921260, 14870.472441), (-1688.724036, 11354.005935), (-3811.375212, 7462.478778), (-6983.827376, 6437.532694)))	(((-5000.000000, 14914.285758), (-4079.921260, 14870.472441), (-1688.724036, 11354.005935), (-3811.375212, 7462.478778), (-4999.999451, 7078.461716), (-5000.000000, 14914.285758)))
00006	 31	 -0.4500	 1.9100	 0.0000	 2.5309	 0.5408	(((-6555.957031, 14988.378906), (-7141.822620, 20729.861676), (-4535.308057, 22449.052133), (-1895.009849, 22002.232436), (514.000000, 19504.000000), (571.280338, 19149.577911), (-4079.921260, 14870.472441), (-6555.957031, 14988.378906)))	(((-5000.000000, 14914.285966), (-5000.000000, 15000.000000), (-3939.130963, 14999.999514), (-4079.921260, 14870.472441), (-5000.000000, 14914.285966)))
00006	 10	 -0.2800	 0.4200	 0.0000	 3.0278	 0.6894	(((-6983.827376, 6437.532694), (-3811.375212, 7462.478778), (1115.873016, 4698.412698), (-293.784124, 592.020160), (-2289.317507, -56.528190), (-7026.274304, 6385.733053), (-6983.827376, 6437.532694)))	(((-5000.000346, 7078.461427), (-3811.375212, 7462.478778), (578.260820, 5000.000028), (-5000.000000, 5000.000000), (-5000.000346, 7078.461427)))
00006	 36	 -0.0500	 0.8300	 0.0000	 3.8948	 0.3612	(((-3811.375212, 7462.478778), (-1688.724036, 11354.005935), (2113.989637, 10960.621762), (2293.023256, 10734.883721), (1260.493827, 4797.839506), (1115.873016, 4698.412698), (-3811.375212, 7462.478778)))	(((1295.652202, 5000.000163), (578.261332, 4999.999740), (-3811.375212, 7462.478778), (-1688.724036, 11354.005935), (2113.989637, 10960.621762), (2293.023256, 10734.883721), (1295.652202, 5000.000163)))
00006	 37	 0.0100	 1.4100	 0.0000	 2.5891	 0.2408	(((-4079.921260, 14870.472441), (571.280338, 19149.577911), (3467.109145, 16824.139626), (2113.989637, 10960.621762), (-1688.724036, 11354.005935), (-4079.921260, 14870.472441)))	(((-3939.130431, 15000.000004), (3046.153740, 14999.999541), (2113.989637, 10960.621762), (-1688.724036, 11354.005935), (-4079.921260, 14870.472441), (-3939.130431, 15000.000004)))
00006	 22	 0.4100	 0.7500	 0.0000	 3.4549	 0.4254	(((2293.023256, 10734.883721), (7354.237288, 9610.169492), (6564.485981, 4608.411215), (1260.493827, 4797.839506), (2293.023256, 10734.883721)))	(((4999.999871, 10133.333362), (5000.000000, 5000.000000), (1295.652207, 5000.000189), (2293.023256, 10734.883721), (4999.999871, 10133.333362)))
00006	 13	 0.5300	 1.2900	 0.0000	 3.1659	 0.2319	(((3467.109145, 16824.139626), (5124.947220, 16802.885292), (8086.791315, 14312.243667), (7845.041322, 9960.743802), (7354.237288, 9610.169492), (2293.023256, 10734.883721), (2113.989637, 10960.621762), (3467.109145, 16824.139626)))	(((3046.153781, 14999.999717), (5000.000000, 15000.000000), (5000.000060, 10133.333320), (2293.023256, 10734.883721), (2113.989637, 10960.621762), (3046.153781, 14999.999717)))
00007	 1	 -0.4900	 1.0500	 0.0000	 2.7337	 0.1803	(((-6718.918919, 6266.216216), (-8052.538071, 13675.211506), (-6156.120926, 14762.490669), (-4109.808736, 14614.564487), (-1729.223744, 11079.756469), (-4094.830372, 6742.810985), (-5709.913259, 6128.624535), (-6718.918919, 6266.216216)))	(((-5000.000720, 14678.915715), (-4109.808736, 14614.564487), (-1729.223744, 11079.756469), (-4094.830372, 6742.810985), (-5000.000444, 6398.591380), (-5000.000720, 14678.915715)))
00007	 31	 -0.4300	 1.8800	 0.0000	 2.5656	 0.4632	(((-7070.529801, 20363.245033), (-4455.513595, 22199.320242), (-1732.517483, 21786.745073), (379.730962, 19636.092111), (532.949830, 18607.336854), (-4109.808736, 14614.564487), (-6156.120926, 14762.490669), (-7070.529801, 20363.245033)))	(((-5000.000072, 14678.915668), (-5000.000000, 15000.000000), (-3661.628022, 14999.999901), (-4109.808736, 14614.564487), (-5000.000072, 14678.915668)))
00007	 10	 -0.2200	 0.3400	 0.0000	 3.1275	 0.6621	(((-5709.913259, 6128.624535), (-4094.830372, 6742.810985), (1268.366655, 4802.931210), (-208.429031, -458.153422), (-2585.980780, -1038.044093), (-5709.913259, 6128.624535)))	(((-4999.999993, 6398.591552), (-4094.830372, 6742.810985), (723.529089, 5000.000117), (-5000.000000, 5000.000000), (-4999.999993, 6398.591552)))
00007	 36	 -0.0500	 0.8100	 0.0000	 3.7823	 0.3306	(((-4094.830372, 6742.810985), (-1729.223744, 11079.756469), (2034.523810, 10749.603175), (2309.743291, 10400.991832), (1367.606967, 4865.940931), (1268.366655, 4802.931210), (-4094.830372, 6742.810985)))	(((1390.425372, 4999.999058), (723.530756, 4999.999514), (-4094.830372, 6742.810985), (-1729.223744, 11079.756469), (2034.523810, 10749.603175), (2309.743291, 10400.991832), (1390.425372, 4999.999058)))
00007	 37	 -0.0000	 1.3800	 0.0000	 2.7157	 0.2693	(((-4109.808736, 14614.564487), (532.949830, 18607.336854), (3332.944162, 16376.091371), (2034.523810, 10749.603175), (-1729.223744, 11079.756469), (-4109.808736, 14614.564487)))	(((-3661.628116, 14999.999820), (3015.384678, 15000.000273), (2034.523810, 10749.603175), (-1729.223744, 11079.756469), (-4109.808736, 14614.564487), (-3661.628116, 14999.999820)))
00007	 22	 0.4200	 0.7300	 0.0000	 3.5469	 0.3479	(((2309.743291, 10400.991832), (7321.686144, 9455.342237), (6558.049335, 4205.339176), (1367.606967, 4865.940931), (2309.743291, 10400.991832)))	(((4999.999843, 9893.396256), (5000.000000, 5000.000000), (1390.425541, 5000.000055), (2309.743291, 10400.991832), (4999.999843, 9893.396256)))
00007	 13	 0.5200	 1.2600	 0.0000	 3.1997	 0.2377	(((3332.944162, 16376.091371), (5164.630732, 16400.192510), (8036.658933, 14038.747100), (7806.149068, 9812.732919), (7321.686144, 9455.342237), (2309.743291, 10400.991832), (2034.523810, 10749.603175), (3332.944162, 16376.091371)))	(((3015.384607, 14999.999964), (5000.000000, 15000.000000), (5000.000253, 9893.396179), (2309.743291, 10400.991832), (2034.523810, 10749.603175), (3015.384607, 14999.999964)))
00008	 9	 -0.6000	 0.1800	 0.0000	 3.8171	 0.1118	(((-8350.000000, 5215.753425), (-6489.052814, 6184.465658), (-4519.533044, 5929.586629), (-4470.159858, 5885.879218), (-3266.672772, -733.327228), (-4000.000000, 0.000000), (-8350.000000, -0.003132), (-8350.000000, 5215.753425)))	(((-4999.999862, 5991.764688), (-4519.533044, 5929.586629), (-4470.159858, 5885.879218), (-4309.091618, 5000.000224), (-5000.000000, 5000.000000), (-4999.999862, 5991.764688)))
00008	 1	 -0.4900	 1.0300	 0.0000	 2.8092	 0.1903	(((-8203.731343, 13186.069652), (-5842.026409, 14530.929406), (-4161.683007, 14366.993464), (-1760.035006, 10873.687281), (-4519.533044, 5929.586629), (-6489.052814, 6184.465658), (-8203.731343, 13186.069652)))	(((-5000.000018, 14448.780490), (-4161.683007, 14366.993464), (-1760.035006, 10873.687281), (-4519.533044, 5929.586629), (-4999.999509, 5991.764642), (-5000.000018, 14448.780490)))
00008	 31	 -0.4100	 1.8500	 0.0000	 2.6432	 0.3996	(((-6962.551828, 20021.503958), (-4485.989622, 21865.752409), (-1505.910127, 21453.126018), (268.083860, 19710.810494), (493.556648, 18167.189101), (-4161.683007, 14366.993464), (-5842.026409, 14530.929406), (-6962.551828, 20021.503958)))	(((-5000.000575, 14448.780544), (-5000.000000, 15000.000000), (-3386.249739, 15000.000213), (-4161.683007, 14366.993464), (-5000.000575, 14448.780544)))
00008	 10	 -0.1600	 0.2600	 0.0000	 3.1971	 0.7111	(((-4470.159858, 5885.879218), (1302.505695, 4796.697039), (1329.574309, 4761.015683), (195.516202, -1413.300678), (-2499.996187, -1894.642176), (-2500.000000, -1500.000000), (-3266.672772, -733.327228), (-4470.159858, 5885.879218)))	(((225.003411, 4999.999356), (-4309.091455, 4999.999328), (-4470.159858, 5885.879218), (225.003411, 4999.999356)))
