#framerate (fps):	25.00

#Frame	PersID	x/m	y/m	z/m	Individual density(m^(-2))	Individual velocity(m/s)	Voronoi Polygon	Intersection Polygon
00006	 2	 -0.3600	 1.1500	 0.0000	 1.6607	 0.1904	(((-6208.247423, 16451.030928), (-3272.627821, 17846.176877), (170.044186, 17056.055433), (766.888046, 8799.715370), (-6868.181818, 8531.818182), (-6208.247423, 16451.030928)))	(((-5000.000473, 8597.368404), (-5000.000000, 15000.000000), (318.674700, 14999.999981), (766.888046, 8799.715370), (-5000.000473, 8597.368404)))
00006	 28	 -0.3400	 0.5800	 0.0000	 2.1111	 0.7159	(((-8832.857143, 6567.142857), (-6868.181818, 8531.818182), (766.888046, 8799.715370), (1954.886770, 7272.288439), (-1281.273362, 1225.778719), (-8832.857143, 6567.142857)))	(((-4999.999411, 8597.368442), (766.888046, 8799.715370), (1954.886770, 7272.288439), (738.732186, 4999.999611), (-5000.000000, 5000.000000), (-4999.999411, 8597.368442)))
00006	 49	 0.3700	 0.2000	 0.0000	 0.8092	 0.6129	(((-944.450085, -10000.000000), (-1281.273362, 1225.778719), (1954.886770, 7272.288439), (11261.773417, 6350.814513), (11878.009915, 5906.550992), (13777.780536, -0.008576), (4000.000000, 0.000000), (2500.000000, -1500.000000), (2500.000000, -10000.000000), (-944.450085, -10000.000000)))	(((4999.999809, 6970.792098), (5000.000000, 5000.000000), (738.732953, 5000.001044), (1954.886770, 7272.288439), (4999.999809, 6970.792098)))
00006	 39	 0.4700	 1.2100	 0.0000	 0.9937	 0.7404	(((170.044186, 17056.055433), (6618.875358, 20113.690903), (11261.773417, 6350.814513), (1954.886770, 7272.288439), (766.888046, 8799.715370), (170.044186, 17056.055433)))	(((318.674692, 15000.000092), (5000.000000, 15000.000000), (5000.000212, 6970.792058), (1954.886770, 7272.288439), (766.888046, 8799.715370), (318.674692, 15000.000092)))
00007	 2	 -0.3500	 1.1400	 0.0000	 1.6896	 0.2658	(((-6268.944099, 16171.118012), (-3269.801980, 17625.247525), (232.019160, 16801.289609), (735.641461, 8642.608326), (-6658.117444, 8387.651123), (-6268.944099, 16171.118012)))	(((-5000.000005, 8444.827586), (-5000.000000, 15000.000000), (343.209858, 15000.000307), (735.641461, 8642.608326), (-5000.000005, 8444.827586)))
00007	 28	 -0.3300	 0.5600	 0.0000	 2.1911	 0.6486	(((-8543.814187, 6471.041318), (-6658.117444, 8387.651123), (735.641461, 8642.608326), (1940.245595, 7132.072985), (-1335.798658, 1111.234899), (-8543.814187, 6471.041318)))	(((-5000.000649, 8444.827564), (735.641461, 8642.608326), (1940.245595, 7132.072985), (780.147361, 5000.000555), (-5000.000000, 5000.000000), (-5000.000649, 8444.827564)))
00007	 49	 0.3500	 0.1900	 0.0000	 0.8295	 0.6325	(((-1106.680679, -10000.000000), (-1335.798658, 1111.234899), (1940.245595, 7132.072985), (11044.179426, 6130.640263), (11588.215437, 5732.251688), (13419.826282, -0.011884), (4000.000000, 0.000000), (2500.000000, -1500.000000), (2500.000000, -10000.000000), (-1106.680679, -10000.000000)))	(((5000.000202, 6795.499978), (5000.000000, 5000.000000), (780.147210, 5000.000277), (1940.245595, 7132.072985), (5000.000202, 6795.499978)))
00007	 39	 0.4600	 1.1900	 0.0000	 1.0270	 0.7111	(((232.019160, 16801.289609), (6561.717228, 19744.043974), (11044.179426, 6130.640263), (1940.245595, 7132.072985), (735.641461, 8642.608326), (232.019160, 16801.289609)))	(((343.209844, 15000.000529), (5000.000000, 15000.000000), (4999.999888, 6795.500012), (1940.245595, 7132.072985), (735.641461, 8642.608326), (343.209844, 15000.000529)))
00008	 2	 -0.3500	 1.1300	 0.0000	 1.7111	 0.2574	(((-6424.939383, 15853.636993), (-3224.416294, 17371.410830), (362.757732, 16505.541237), (655.289994, 8607.170172), (-6551.926949, 8234.383089), (-6424.939383, 15853.636993)))	(((-4999.999891, 8314.655178), (-5000.000000, 15000.000000), (418.518502, 15000.000438), (655.289994, 8607.170172), (-4999.999891, 8314.655178)))
00008	 28	 -0.3200	 0.5500	 0.0000	 2.2392	 0.5831	(((-8231.908596, 6440.504381), (-6551.926949, 8234.383089), (655.289994, 8607.170172), (1905.004390, 7009.174715), (-1431.291391, 892.632450), (-8231.908596, 6440.504381)))	(((-5000.000348, 8314.655154), (655.289994, 8607.170172), (1905.004390, 7009.174715), (809.091463, 5000.001015), (-5000.000000, 5000.000000), (-5000.000348, 8314.655154)))
00008	 49	 0.3400	 0.1900	 0.0000	 0.8449	 0.6600	(((-1206.741857, -10000.000000), (-1431.291391, 892.632450), (1905.004390, 7009.174715), (10897.992048, 5896.640159), (11456.687164, 5474.212145), (13194.023582, -0.036571), (4000.000000, 0.000000), (2500.000000, -1500.000000), (2500.000000, -10000.000000), (-1206.741857, -10000.000000)))	(((4999.999444, 6626.288729), (5000.000000, 5000.000000), (809.090796, 4999.999792), (1905.004390, 7009.174715), (4999.999444, 6626.288729)))
00008	 39	 0.4600	 1.1600	 0.0000	 1.0557	 0.7159	(((362.757732, 16505.541237), (6559.704681, 19412.073877), (10897.992048, 5896.640159), (1905.004390, 7009.174715), (655.289994, 8607.170172), (362.757732, 16505.541237)))	(((418.518497, 15000.000575), (5000.000000, 15000.000000), (4999.999750, 6626.288691), (1905.004390, 7009.174715), (655.289994, 8607.170172), (418.518497, 15000.000575)))
00009	 2	 -0.3400	 1.1200	 0.0000	 1.7531	 0.2915	(((-6400.000000, 15611.052632), (-3249.433209, 17136.590236), (486.786517, 16243.865169), (584.038378, 8560.968164), (-6400.000000, 8079.310345), (-6400.000000, 15611.052632)))	(((-5000.000092, 8175.862063), (-5000.000000, 15000.000000), (502.531647, 14999.999851), (584.038378, 8560.968164), (-5000.000092, 8175.862063)))
00009	 28	 -0.3000	 0.5400	 0.0000	 2.3237	 0.5202	(((-7887.716021, 6437.692667), (-6400.000000, 8079.310345), (584.038378, 8560.968164), (1951.730433, 6822.376568), (-1590.116110, 820.914369), (-7887.716021, 6437.692667)))	(((-4999.999984, 8175.862070), (584.038378, 8560.968164), (1951.730433, 6822.376568), (876.229111, 4999.999327), (-5000.000000, 5000.000000), (-4999.999984, 8175.862070)))
00009	 49	 0.3100	 0.1800	 0.0000	 0.8647	 0.7075	(((-1474.995604, -10000.000000), (-1590.116110, 820.914369), (1951.730433, 6822.376568), (10801.589276, 5518.186844), (11129.530201, 5263.422819), (12778.327039, -0.044008), (4000.000000, 0.000000), (2500.000000, -1500.000000), (2500.000000, -10000.000000), (-1474.995604, -10000.000000)))	(((5000.000035, 6373.157890), (5000.000000, 5000.000000), (876.229012, 4999.999159), (1951.730433, 6822.376568), (5000.000035, 6373.157890)))
00009	 39	 0.4500	 1.1300	 0.0000	 1.0878	 0.6865	(((486.786517, 16243.865169), (6420.403413, 18998.758728), (10801.589276, 5518.186844), (1951.730433, 6822.376568), (584.038378, 8560.968164), (486.786517, 16243.865169)))	(((502.531652, 14999.999500), (5000.000000, 15000.000000), (5000.000384, 6373.157838), (1951.730433, 6822.376568), (584.038378, 8560.968164), (502.531652, 14999.999500)))
00010	 2	 -0.3300	 1.1100	 0.0000	 1.7566	 0.2795	(((-6493.048404, 15362.976313), (-3292.063701, 16929.415636), (600.000000, 15974.090909), (600.000000, 8400.847458), (-6249.556418, 7936.470751), (-6493.048404, 15362.976313)))	(((-4999.999296, 8021.186488), (-5000.000000, 15000.000000), (600.000000, 15000.000215), (600.000000, 8400.847458), (-4999.999296, 8021.186488)))
00010	 28	 -0.2900	 0.5200	 0.0000	 2.3577	 0.4610	(((-7583.233187, 6415.611278), (-6249.556418, 7936.470751), (600.000000, 8400.847458), (1958.998669, 6696.340652), (-1800.000000, 467.142857), (-7583.233187, 6415.611278)))	(((-5000.000969, 8021.186375), (600.000000, 8400.847458), (1958.998669, 6696.340652), (935.345131, 5000.000503), (-5000.000000, 5000.000000), (-5000.000969, 8021.186375)))
00010	 49	 0.2900	 0.1700	 0.0000	 0.8728	 0.7500	(((-1800.000000, -10000.000000), (-1800.000000, 467.142857), (1958.998669, 6696.340652), (10575.474957, 5229.706390), (10935.936222, 4942.559280), (12463.628826, 0.024388), (4000.000000, 0.000000), (2500.000000, -1500.000000), (2500.000000, -10000.000000), (-1800.000000, -10000.000000)))	(((5000.000741, 6178.723278), (5000.000000, 5000.000000), (935.345173, 5000.000572), (1958.998669, 6696.340652), (5000.000741, 6178.723278)))
00010	 39	 0.4500	 1.1100	 0.0000	 1.1239	 0.6671	(((600.000000, 15974.090909), (6436.842105, 18680.263158), (10575.474957, 5229.706390), (1958.998669, 6696.340652), (600.000000, 8400.847458), (600.000000, 15974.090909)))	(((600.000000, 15000.000507), (5000.000000, 15000.000000), (5000.000104, 6178.723387), (1958.998669, 6696.340652), (600.000000, 8400.847458), (600.000000, 15000.000507)))
00011	 2	 -0.3300	 1.1000	 0.0000	 1.7988	 0.2795	(((-6586.210526, 15093.157895), (-3313.337443, 16694.019729), (674.357892, 15687.778850), (483.752482, 8349.470549), (-6099.438202, 7791.573034), (-6586.210526, 15093.157895)))	(((-4999.999599, 7884.745797), (-5000.000000, 15000.000000), (656.493505, 14999.999946), (483.752482, 8349.470549), (-4999.999599, 7884.745797)))
00011	 28	 -0.2800	 0.5100	 0.0000	 2.4412	 0.3750	(((-7339.163722, 6326.442874), (-6099.438202, 7791.573034), (483.752482, 8349.470549), (2038.759894, 6385.250660), (-2033.254494, 552.365184), (-7339.163722, 6326.442874)))	(((-5000.000352, 7884.745733), (483.752482, 8349.470549), (2038.759894, 6385.250660), (1071.697625, 4999.999301), (-5000.000000, 5000.000000), (-5000.000352, 7884.745733)))
00011	 49	 0.2500	 0.1400	 0.0000	 0.8862	 0.8004	(((-2384.967018, -10000.000000), (-2033.254494, 552.365184), (2038.759894, 6385.250660), (10418.107631, 4691.552713), (10571.798365, 4565.447495), (12010.603198, 0.009084), (4000.000000, 0.000000), (2500.000000, -1500.000000), (2500.000000, -10000.000000), (-2384.967018, -10000.000000)))	(((4999.999978, 5786.702132), (5000.000000, 5000.000000), (1071.698495, 5000.000547), (2038.759894, 6385.250660), (4999.999978, 5786.702132)))
00011	 39	 0.4400	 1.0800	 0.0000	 1.1410	 0.6619	(((674.357892, 15687.778850), (6355.145133, 18293.644556), (10418.107631, 4691.552713), (2038.759894, 6385.250660), (483.752482, 8349.470549), (674.357892, 15687.778850)))	(((656.493485, 14999.999176), (5000.000000, 15000.000000), (5000.000091, 5786.702109), (2038.759894, 6385.250660), (483.752482, 8349.470549), (656.493485, 14999.999176)))
00012	 2	 -0.3200	 1.0900	 0.0000	 1.8340	 0.2795	(((-6550.000000, 14850.000000), (-3298.101266, 16475.949367), (784.189105, 15416.123982), (498.837209, 8187.209302), (-5958.286517, 7749.438202), (-6550.000000, 14850.000000)))	(((-5000.000118, 7814.406772), (-5000.000000, 15000.000000), (767.763174, 15000.000418), (498.837209, 8187.209302), (-5000.000118, 7814.406772)))
00012	 28	 -0.2800	 0.5000	 0.0000	 2.4942	 0.3553	(((-7169.822046, 6313.544241), (-5958.286517, 7749.438202), (498.837209, 8187.209302), (2102.118644, 6125.847458), (-2172.731707, 535.658537), (-7169.822046, 6313.544241)))	(((-5000.000084, 7814.406774), (498.837209, 8187.209302), (2102.118644, 6125.847458), (1241.176122, 4999.999544), (-5000.000000, 5000.000000), (-5000.000084, 7814.406774)))
00012	 49	 0.2300	 0.1100	 0.0000	 0.9030	 0.8515	(((-2500.000000, -10000.000000), (-2500.064846, -3579.386634), (-2172.731707, 535.658537), (2102.118644, 6125.847458), (10317.807294, 4309.747861), (10319.574468, 4308.297872), (11711.888232, 0.006227), (4000.000000, 0.000000), (2500.000000, -1500.000000), (2500.000000, -10000.000000), (-2500.000000, -10000.000000)))	(((5000.000668, 5485.263010), (5000.000000, 5000.000000), (1241.176604, 5000.000175), (2102.118644, 6125.847458), (5000.000668, 5485.263010)))
00012	 39	 0.4400	 1.0600	 0.0000	 1.1647	 0.6865	(((784.189105, 15416.123982), (6316.747226, 17949.725365), (10317.807294, 4309.747861), (2102.118644, 6125.847458), (498.837209, 8187.209302), (784.189105, 15416.123982)))	(((767.763158, 15000.000003), (5000.000000, 15000.000000), (5000.000558, 5485.263034), (2102.118644, 6125.847458), (498.837209, 8187.209302), (767.763158, 15000.000003)))
